track,model,accuracy,precision,recall,f1,roc_auc,cv_f1,train_time
email,LogReg (demo),0.971,0.967,0.9778,0.9724,0.9948,0.9708,6.3
url,RandomForest (demo),0.8817,0.8288,0.8115,0.8201,0.9417,0.8137,2.82

url,LogReg,0.7463,0.7332,0.3718,0.4934,0.7837,0.4938,3.14
url,DecisionTree,0.8968,0.849,0.8386,0.8438,0.9365,0.8401,2.94
url,RandomForest,0.9119,0.8755,0.8567,0.866,0.9648,0.8627,96.13
url,GradientBoosting,0.862,0.8236,0.744,0.7818,0.9236,0.7865,143.46
url,XGBoost,0.8777,0.841,0.7794,0.809,0.9392,0.8105,9.42
email,LogReg,0.9852,0.9828,0.9889,0.9859,0.9987,0.9863,45.78
email,LinearSVC,0.9898,0.9886,0.9919,0.9903,0.9991,0.9895,41.82
email,MultinomialNB,0.9675,0.9868,0.9504,0.9683,0.9973,0.9683,41.66
email,RandomForest,0.9871,0.9864,0.989,0.9877,0.9989,0.986,136.99
